Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
4,11,14,10,20,11,15,31,0,4,3,4,14,8,34,17,1,0,0,0,1,0,0,0,1
10,11,14,4,19,11,17,22,5,4,5,2,13,11,44,22,1,0,0,1,0,0,0,0,1
28,11,19,5,19,11,20,29,1,6,2,3,16,7,49,37,1,0,0,0,0,0,0,1,1
10,11,17,16,19,12,8,22,5,1,5,6,10,15,16,63,1,0,0,1,0,0,0,0,2
10,11,14,10,19,10,15,22,5,4,3,3,9,9,44,44,1,0,0,1,0,0,0,0,2
3,11,14,16,19,10,7,19,5,1,4,5,10,18,27,27,1,0,0,1,0,0,0,0,0
24,11,17,8,19,11,17,24,5,5,2,4,20,18,66,22,1,0,0,1,0,0,0,0,2
2,11,18,11,16,7,7,18,2,2,1,4,8,16,55,55,1,1,0,0,0,0,0,0,0
22,12,20,1,20,16,46,46,4,15,1,0,33,8,103,0,1,0,0,1,0,0,0,0,1
7,12,19,1,20,14,40,40,2,13,1,0,31,8,100,11,1,1,0,0,0,0,0,0,1
15,12,18,3,20,15,29,43,3,9,2,4,27,13,59,17,1,0,0,1,0,0,0,0,1
29,12,12,1,20,18,50,50,5,16,2,0,36,10,95,15,1,0,0,1,0,0,0,0,2
26,12,15,9,20,17,24,49,5,7,3,7,31,23,48,27,1,0,0,0,0,0,0,1,2
9,12,19,4,20,14,25,43,2,7,4,3,24,18,68,26,1,0,0,0,1,0,0,0,0
8,12,19,5,20,14,24,43,2,7,3,4,20,16,55,27,1,0,0,1,0,0,0,0,2
29,12,15,16,20,18,16,50,5,4,4,10,22,36,27,27,1,0,0,1,0,0,0,0,0
29,12,15,4,20,18,31,50,5,9,4,5,27,20,48,35,1,0,0,1,0,0,0,0,1
16,12,18,13,20,15,17,46,3,3,8,4,15,19,27,37,1,0,0,0,1,0,0,0,0
26,12,18,10,20,17,24,49,5,6,6,5,29,23,48,41,1,0,0,0,0,0,0,1,3
22,12,18,20,20,16,4,46,4,0,7,9,12,32,8,31,1,0,0,1,0,0,0,0,1
3,12,19,12,20,13,18,40,2,5,3,5,25,17,44,33,1,0,1,0,0,0,0,0,1
29,12,18,2,20,18,41,50,5,13,2,3,34,15,86,12,1,0,0,1,0,0,0,0,3
26,12,20,3,20,17,33,49,5,10,3,4,29,14,62,20,1,0,0,0,0,0,0,1,1
