Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
6,5,15,16,20,38,38,93,26,10,8,20,27,52,30,12,1,0,0,0,1,0,0,1
4,5,18,11,20,38,47,88,23,13,8,17,51,55,42,18,1,1,0,0,0,0,0,1
4,5,18,15,20,38,42,88,23,11,9,18,47,60,49,30,1,1,0,0,0,0,0,0
6,5,13,7,20,38,55,93,26,15,10,13,47,50,19,16,1,0,0,0,1,0,0,1
4,5,18,10,20,38,53,88,23,15,8,15,51,62,30,49,1,1,0,0,0,0,0,1
27,7,19,9,20,1,1,3,0,0,1,0,0,0,49,19,1,1,0,0,0,0,0,0
18,8,16,12,20,1,0,3,0,0,0,1,1,2,20,27,1,0,0,1,0,0,0,1
17,8,19,6,20,3,6,9,0,2,0,1,6,4,25,11,1,1,0,0,0,0,0,1
12,8,20,10,20,0,0,3,0,0,0,0,0,0,96,14,1,0,0,0,1,0,0,3
26,8,16,18,20,2,0,9,0,0,0,2,1,4,68,17,1,0,0,0,1,0,0,2
25,8,16,1,20,2,6,6,0,2,0,0,6,1,96,14,1,0,0,1,0,0,0,3
17,8,19,9,20,3,5,9,0,1,2,0,2,1,49,30,1,1,0,0,0,0,0,0
17,8,19,12,20,3,3,9,0,1,0,2,6,6,33,26,1,1,0,0,0,0,0,1
17,8,19,14,20,3,3,9,0,1,0,2,3,4,68,30,1,1,0,0,0,0,0,2
3,8,19,16,20,1,0,3,0,0,0,1,0,1,18,30,1,1,0,0,0,0,0,0
25,8,19,11,20,2,3,6,0,1,0,1,3,3,30,14,1,0,0,1,0,0,0,0
11,8,19,4,20,0,0,3,0,0,0,0,0,0,55,30,1,0,0,1,0,0,0,2
3,8,19,18,20,1,0,3,0,0,0,1,1,3,30,25,1,1,0,0,0,0,0,2
27,8,19,8,20,4,7,15,0,2,1,1,6,5,25,25,1,0,1,0,0,0,0,0
10,8,19,19,20,2,0,6,0,0,0,2,0,4,30,14,1,1,0,0,0,0,0,0
25,8,19,16,20,3,1,9,0,0,1,2,2,6,18,49,1,0,0,1,0,0,0,1
3,8,19,2,20,2,4,4,0,1,1,0,2,1,25,19,1,1,0,0,0,0,0,4
31,8,19,8,20,5,8,15,0,2,2,1,5,6,92,-11,1,1,0,0,0,0,0,2
31,8,19,6,20,5,8,15,0,2,2,1,6,5,25,30,1,1,0,0,0,0,0,0
24,8,19,8,20,4,7,12,0,2,1,1,3,3,73,13,1,1,0,0,0,0,0,0
24,8,19,13,20,4,4,12,0,1,1,2,3,5,49,37,1,1,0,0,0,0,0,1
31,8,19,15,20,5,4,15,0,0,4,1,3,4,47,15,1,1,0,0,0,0,0,1
24,8,19,17,20,4,2,12,0,0,2,2,4,7,30,13,1,1,0,0,0,0,0,1
31,8,19,11,20,5,6,15,0,2,0,3,7,7,68,30,1,1,0,0,0,0,0,0
31,8,19,13,20,5,6,15,0,1,3,1,2,2,55,16,1,1,0,0,0,0,0,3
26,8,14,3,20,3,7,9,0,2,1,0,6,1,25,9,1,0,0,0,1,0,0,3
10,8,19,12,20,2,3,6,0,1,0,1,1,1,37,30,1,1,0,0,0,0,0,2
26,9,20,1,20,7,21,21,1,7,0,0,24,6,73,37,1,0,0,0,0,0,1,4
29,9,16,11,20,7,10,21,1,3,1,3,6,9,37,49,1,0,0,1,0,0,0,0
14,9,19,1,20,4,12,12,0,4,0,0,13,4,96,14,1,1,0,0,0,0,0,4
28,9,19,6,20,7,12,21,1,3,3,1,8,9,73,27,1,1,0,0,0,0,0,2
25,9,18,16,20,6,6,18,0,1,3,2,8,8,27,18,1,0,0,0,0,1,0,0
23,9,20,11,20,5,7,18,0,2,1,2,6,4,68,17,1,0,0,0,1,0,0,4
29,9,19,3,20,7,13,21,1,4,1,2,13,6,51,26,1,0,0,1,0,0,0,1
22,9,16,3,20,5,10,15,0,3,1,1,9,4,37,18,1,0,0,1,0,0,0,2
2,9,20,12,20,3,4,12,0,1,1,1,4,3,68,11,1,0,0,0,1,0,0,2
30,9,19,6,20,8,14,24,4,4,2,2,11,6,50,50,1,0,0,0,1,0,0,3
23,9,16,20,20,5,0,15,0,0,0,5,3,14,18,46,1,0,0,0,1,0,0,1
15,9,16,12,20,4,5,13,0,1,2,1,4,5,27,20,1,0,0,1,0,0,0,2
15,9,19,3,20,5,10,15,0,3,1,1,5,6,68,26,1,0,0,1,0,0,0,1
25,9,18,18,20,6,5,18,0,1,2,3,6,10,30,60,1,0,0,0,0,1,0,1
16,9,14,18,20,4,4,15,0,1,1,2,5,8,55,0,1,0,0,0,1,0,0,0
1,9,19,19,20,3,0,9,0,0,0,3,4,8,30,19,1,0,0,1,0,0,0,1
29,9,19,8,20,7,10,21,1,3,1,3,9,9,27,27,1,0,0,1,0,0,0,0
26,9,18,17,20,6,6,18,0,1,3,2,7,9,40,20,1,0,0,0,0,0,1,2
26,9,18,10,20,7,10,21,1,3,1,3,10,11,51,17,1,0,0,0,0,0,1,1
1,9,19,2,20,3,9,9,0,3,0,0,8,1,26,26,1,0,0,1,0,0,0,0
1,9,19,6,20,3,6,9,0,2,0,1,3,4,55,19,1,0,0,1,0,0,0,0
29,9,19,14,20,7,8,21,1,2,2,3,4,9,18,37,1,0,0,1,0,0,0,0
22,9,19,6,20,5,8,15,0,2,2,1,5,4,34,59,1,0,0,1,0,0,0,1
22,9,19,16,20,5,5,15,0,1,2,2,6,7,18,27,1,0,0,1,0,0,0,3
28,9,19,4,20,8,16,21,3,5,1,2,12,7,82,9,1,1,0,0,0,0,0,5
22,9,19,13,20,5,6,15,0,2,0,3,8,9,34,34,1,0,0,1,0,0,0,0
15,9,14,5,20,5,12,18,0,4,0,1,8,2,49,30,1,0,0,1,0,0,0,2
28,9,19,8,20,8,12,21,3,3,3,2,11,7,47,39,1,1,0,0,0,0,0,1
28,9,19,18,20,8,6,21,3,1,3,4,4,9,20,50,1,1,0,0,0,0,0,3
