Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
19,10,16,18,18,9,5,19,5,1,2,6,9,19,17,42,0,1,0,0,0,0,0,0,0
13,10,20,8,20,28,37,56,17,10,7,11,30,32,42,30,0,0,0,1,0,0,0,0,0
13,10,14,1,24,12,27,27,6,8,3,1,21,10,51,29,0,0,0,1,0,0,0,0,2
13,10,18,10,22,8,10,22,6,2,4,2,11,9,27,27,0,0,0,1,0,0,0,0,0
1,10,18,8,14,4,5,13,3,1,2,1,3,3,110,0,0,0,1,0,0,0,0,0,0
31,10,19,9,12,10,7,25,3,2,1,7,8,21,13,0,0,0,0,0,0,0,0,1,0
31,10,18,3,16,27,51,60,15,15,6,6,49,30,71,24,0,0,0,0,0,0,0,1,3
29,10,1,5,20,17,32,35,8,10,2,5,24,19,37,30,0,0,1,0,0,0,0,0,0
29,10,19,13,14,7,6,20,5,1,3,3,5,8,18,37,0,0,1,0,0,0,0,0,2
28,10,23,16,20,17,16,35,8,4,4,9,17,26,30,18,0,0,0,0,1,0,0,0,1
28,10,19,1,16,26,54,54,19,16,6,4,44,21,71,24,0,0,0,0,1,0,0,0,2
28,10,14,5,10,12,18,27,2,4,6,2,18,13,73,0,0,0,0,0,1,0,0,0,1
28,10,20,7,23,33,54,69,21,15,9,9,53,46,58,37,0,0,0,0,1,0,0,0,1
28,10,20,9,23,33,50,69,21,15,5,13,48,47,49,16,0,0,0,0,1,0,0,0,1
28,10,20,10,23,33,50,69,21,14,8,11,60,50,31,31,0,0,0,0,1,0,0,0,0
28,10,20,21,23,33,28,69,21,8,4,21,43,73,29,12,0,0,0,0,1,0,0,0,0
28,10,15,2,16,7,19,19,0,6,1,0,11,3,44,22,0,0,0,0,1,0,0,0,2
27,10,20,6,26,9,15,20,4,4,3,2,10,7,77,22,0,0,0,1,0,0,0,0,1
27,10,19,19,20,30,30,62,17,8,6,16,27,50,30,25,0,0,0,1,0,0,0,0,4
27,10,16,4,14,7,10,17,5,2,4,1,8,4,55,41,0,0,0,1,0,0,0,0,0
27,10,15,11,12,12,10,31,9,2,4,6,16,18,11,11,0,0,0,1,0,0,0,0,1
27,10,14,9,14,13,15,28,9,4,3,6,19,17,27,37,0,0,0,1,0,0,0,0,3
