Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
29,12,16,19,20,19,11,51,10,2,5,12,17,43,13,33,1,0,0,1,0,0,0,0,1
26,12,16,14,20,18,18,48,10,5,3,10,17,25,30,18,1,0,0,0,0,0,0,1,0
26,12,16,18,20,18,12,48,10,3,3,12,16,36,13,19,1,0,0,0,0,0,0,1,1
10,12,20,7,20,15,23,42,9,6,5,4,21,17,55,27,1,0,1,0,0,0,0,0,2
30,12,15,17,20,19,15,54,10,3,6,10,20,35,8,51,1,0,0,0,1,0,0,0,1
5,12,19,7,20,14,22,41,8,6,4,4,20,16,44,33,1,0,0,0,0,0,0,1,1
30,12,15,19,20,19,12,54,10,3,3,13,17,41,13,13,1,0,0,0,1,0,0,0,2
26,12,13,20,20,18,10,48,10,2,4,12,16,42,13,25,1,0,0,0,0,0,0,1,1
1,12,15,15,20,14,12,36,8,3,3,8,9,17,42,34,1,0,0,1,0,0,0,0,2
30,12,13,15,20,19,19,51,11,5,4,10,17,25,35,20,1,0,0,0,1,0,0,0,0
15,12,16,16,20,16,12,42,9,3,3,10,13,23,22,22,1,0,0,1,0,0,0,0,1
8,12,15,16,20,15,11,41,9,3,2,10,14,30,27,9,1,0,0,1,0,0,0,0,1
8,12,15,19,20,15,9,41,9,2,3,10,14,32,8,26,1,0,0,1,0,0,0,0,1
29,12,16,10,20,19,27,51,10,8,3,8,26,27,55,20,1,0,0,1,0,0,0,0,1
26,12,16,2,24,23,47,48,15,14,5,4,41,26,60,25,1,0,0,0,0,0,0,1,3
22,12,16,11,20,17,23,45,9,7,2,8,25,28,55,14,1,0,0,1,0,0,0,0,2
26,12,16,1,24,23,48,48,15,14,6,3,39,20,63,31,1,0,0,0,0,0,0,1,3
22,12,16,9,20,17,24,48,9,7,3,7,25,25,48,14,1,0,0,1,0,0,0,0,0
8,12,15,13,20,15,18,41,9,5,3,7,20,23,34,26,1,0,0,1,0,0,0,0,3
29,12,16,8,24,24,37,51,15,11,4,9,31,32,45,20,1,0,0,1,0,0,0,0,0
7,12,20,3,24,20,35,40,11,10,5,5,42,28,49,30,1,1,0,0,0,0,0,0,2
1,12,15,17,20,14,11,38,8,2,5,7,9,23,18,37,1,0,0,1,0,0,0,0,1
17,12,20,5,24,21,37,45,14,11,4,6,31,24,60,16,1,0,1,0,0,0,0,0,0
29,12,16,2,24,24,48,51,15,14,6,4,44,29,70,20,1,0,0,1,0,0,0,0,3
29,12,16,5,24,24,39,51,15,10,9,5,25,17,50,40,1,0,0,1,0,0,0,0,2
26,12,16,10,24,23,34,48,15,10,4,9,28,32,45,20,1,0,0,0,0,0,0,1,3
26,12,16,12,24,23,32,48,15,9,5,9,29,27,35,45,1,0,0,0,0,0,0,1,0
26,12,16,13,24,23,31,48,15,8,7,8,28,27,30,35,1,0,0,0,0,0,0,1,1
15,12,16,23,24,21,18,43,11,4,6,11,15,29,27,33,1,0,0,1,0,0,0,0,0
15,12,16,8,24,21,32,43,11,8,8,5,41,32,38,49,1,0,0,1,0,0,0,0,2
8,12,15,1,24,20,40,40,11,12,4,4,35,22,58,29,1,0,0,1,0,0,0,0,3
1,12,15,1,24,20,40,40,11,12,4,4,35,22,62,35,1,0,0,1,0,0,0,0,3
29,12,16,12,24,24,32,51,15,8,8,8,29,28,40,30,1,0,0,1,0,0,0,0,1
29,12,16,7,24,24,37,51,15,9,10,5,37,27,35,45,1,0,0,1,0,0,0,0,0
26,12,16,4,24,23,39,48,15,10,9,4,25,16,45,45,1,0,0,0,0,0,0,1,0
26,12,16,22,24,23,19,48,15,4,7,12,28,39,20,35,1,0,0,0,0,0,0,1,1
22,12,16,12,24,22,31,45,14,7,10,5,29,33,34,48,1,0,0,1,0,0,0,0,0
8,12,15,12,24,20,27,40,11,6,9,5,25,25,37,42,1,0,0,1,0,0,0,0,2
8,12,15,2,24,20,39,40,11,11,6,3,33,17,58,24,1,0,0,1,0,0,0,0,2
1,12,15,11,24,20,28,42,11,8,4,8,24,29,42,18,1,0,0,1,0,0,0,0,2
29,12,16,20,24,24,22,51,15,5,7,12,29,39,20,30,1,0,0,1,0,0,0,0,1
22,12,16,11,24,22,31,45,14,7,10,5,29,27,35,45,1,0,0,1,0,0,0,0,1
22,12,16,4,24,22,38,45,14,11,5,6,31,24,55,25,1,0,0,1,0,0,0,0,1
15,12,16,24,24,21,11,43,11,1,8,12,17,37,11,38,1,0,0,1,0,0,0,0,1
15,12,16,14,24,21,28,43,11,8,4,9,25,31,44,16,1,0,0,1,0,0,0,0,2
8,12,15,5,24,20,34,40,11,8,10,2,32,21,40,47,1,0,0,1,0,0,0,0,0
1,12,15,5,24,20,34,40,11,8,10,2,32,21,35,55,1,0,0,1,0,0,0,0,2
1,12,17,3,24,20,35,42,11,9,8,3,22,13,69,27,1,0,0,1,0,0,0,0,0
15,12,16,11,24,21,30,43,11,7,9,5,27,31,33,38,1,0,0,1,0,0,0,0,2
8,12,15,1,24,19,44,44,14,13,5,1,32,15,75,24,1,0,0,1,0,0,0,0,2
8,12,15,9,24,20,30,40,11,7,9,4,30,24,42,37,1,0,0,1,0,0,0,0,0
1,12,15,10,24,20,29,40,11,7,8,5,26,30,41,48,1,0,0,1,0,0,0,0,4
1,12,15,9,24,20,30,40,11,7,9,4,30,24,27,41,1,0,0,1,0,0,0,0,3
29,12,16,8,24,25,43,53,15,11,10,4,33,27,47,42,1,0,0,1,0,0,0,0,2
26,12,16,12,24,23,30,51,18,8,6,9,30,25,35,30,1,0,0,0,0,0,0,1,3
26,12,16,4,24,25,46,53,15,13,7,5,50,32,58,37,1,0,0,0,0,0,0,1,1
26,12,16,3,24,23,41,47,17,12,5,6,35,23,55,25,1,0,0,0,0,0,0,1,1
26,12,14,15,24,25,31,53,15,9,4,12,28,31,35,15,1,0,0,0,0,0,0,1,2
22,12,16,16,24,22,25,45,14,7,4,11,23,30,30,50,1,0,0,1,0,0,0,0,0
22,12,16,18,24,22,24,45,14,6,6,10,28,40,40,30,1,0,0,1,0,0,0,0,1
22,12,16,19,24,22,22,45,14,5,7,10,33,34,25,40,1,0,0,1,0,0,0,0,1
22,12,16,21,24,22,19,45,14,4,7,11,27,35,25,35,1,0,0,1,0,0,0,0,0
22,12,16,4,24,22,40,48,15,11,7,4,40,28,55,35,1,0,0,1,0,0,0,0,1
15,12,16,24,24,21,15,47,15,4,3,14,18,39,45,25,1,0,0,1,0,0,0,0,4
15,12,16,17,24,21,24,47,15,6,6,9,24,27,38,27,1,0,0,1,0,0,0,0,2
11,12,20,22,22,19,11,39,11,2,5,12,25,41,18,25,1,0,0,0,0,0,1,0,0
8,12,15,1,24,20,40,40,13,11,7,2,30,13,55,38,1,0,0,1,0,0,0,0,2
8,12,13,6,24,19,32,40,13,7,11,1,27,14,40,63,1,0,0,1,0,0,0,0,2
10,5,18,13,20,38,42,100,31,10,12,16,48,68,42,18,1,0,0,0,0,1,0,0,0
5,5,16,8,20,38,49,100,31,13,10,15,44,58,37,37,1,0,0,1,0,0,0,0,1
6,5,11,19,24,46,46,99,37,13,7,26,38,68,55,0,1,0,0,0,1,0,0,0,3
5,5,14,9,20,38,47,100,31,12,11,15,56,60,42,18,1,0,0,1,0,0,0,0,0
13,5,15,18,20,38,33,100,31,8,9,21,28,56,13,19,1,0,0,0,1,0,0,0,1
6,5,11,6,24,46,75,99,37,20,15,11,70,48,55,-11,1,0,0,0,1,0,0,0,4
5,5,14,12,20,38,44,100,31,11,11,16,45,61,39,-11,1,0,0,1,0,0,0,0,1
6,5,11,21,24,46,43,99,37,10,13,23,39,74,40,50,1,0,0,0,1,0,0,0,3
5,5,11,19,20,38,33,100,31,7,12,19,35,68,29,17,1,0,0,1,0,0,0,0,1
13,5,15,11,20,38,44,100,31,11,11,16,45,55,42,16,1,0,0,0,1,0,0,0,2
1,5,18,11,24,46,63,98,36,18,9,19,57,67,50,18,1,0,0,0,0,0,1,0,1
20,5,12,5,10,18,30,44,2,9,3,6,30,18,35,50,1,0,0,0,1,0,0,0,1
