Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
28,7,13,4,20,1,3,3,0,1,0,0,2,1,42,18,0,0,0,1,0,0,0,2
26,8,14,14,18,0,0,3,0,0,0,0,0,0,69,11,0,0,0,0,1,0,0,0
25,8,14,11,18,0,0,3,0,0,0,0,0,0,7,27,0,0,0,1,0,0,0,1
25,8,14,7,18,0,0,3,0,0,0,0,0,0,48,20,0,0,0,1,0,0,0,2
6,8,19,10,18,0,0,3,0,0,0,0,0,0,35,27,0,0,1,0,0,0,0,0
5,8,14,9,18,0,0,3,0,0,0,0,0,0,35,27,0,0,0,0,1,0,0,0
24,8,17,18,18,2,0,6,0,0,0,2,1,6,14,41,0,1,0,0,0,0,0,0
31,8,17,5,18,3,6,7,0,2,0,1,3,2,41,41,0,1,0,0,0,0,0,2
26,8,12,6,18,2,4,7,0,1,1,0,4,1,48,35,0,0,0,0,1,0,0,0
8,8,18,14,20,2,3,6,0,1,0,1,2,3,49,18,0,0,0,0,0,0,1,2
11,8,14,7,18,1,3,6,0,1,0,0,1,0,20,41,0,0,0,1,0,0,0,1
22,9,17,1,18,4,12,12,0,4,0,0,11,2,95,19,0,0,0,1,0,0,0,2
15,9,14,16,18,2,0,7,0,0,0,2,1,5,62,13,0,0,0,1,0,0,0,1
1,9,17,7,18,1,3,6,0,1,0,0,3,1,96,12,0,0,0,1,0,0,0,3
29,9,17,3,18,5,11,13,0,3,2,0,15,3,50,30,0,0,0,1,0,0,0,4
2,9,17,9,18,1,3,6,0,1,0,0,1,0,35,20,0,0,0,0,1,0,0,2
22,9,14,2,18,3,7,9,0,2,1,0,7,2,60,20,0,0,0,1,0,0,0,1
1,9,14,17,18,1,0,3,0,0,0,1,0,2,35,41,0,0,0,1,0,0,0,1
29,9,14,7,18,5,8,13,0,2,2,1,4,3,70,20,0,0,0,1,0,0,0,0
23,9,14,5,18,3,7,12,0,2,1,0,4,2,55,9,0,0,0,0,1,0,0,0
30,9,13,18,18,5,2,14,2,0,2,3,4,9,30,20,0,0,0,0,1,0,0,1
1,9,14,6,18,1,3,3,0,1,0,0,2,1,55,19,0,0,0,1,0,0,0,3
29,9,14,4,18,5,11,13,0,3,2,0,10,6,50,40,0,0,0,1,0,0,0,1
25,9,19,11,18,4,4,12,0,1,1,2,6,7,11,50,0,0,0,0,0,1,0,1
30,9,16,11,18,5,7,14,2,2,1,2,8,9,22,33,0,0,0,0,1,0,0,1
22,9,14,7,18,3,5,9,0,1,2,0,4,3,30,40,0,0,0,1,0,0,0,3
1,9,14,10,18,1,1,3,0,0,1,0,1,1,35,27,0,0,0,1,0,0,0,2
25,9,19,18,18,4,0,12,0,0,0,4,2,8,22,22,0,0,0,0,0,1,0,0
26,9,19,6,18,5,8,13,0,2,2,1,8,7,30,30,0,0,0,0,0,0,1,0
25,9,19,9,18,5,7,13,0,2,1,2,9,8,49,37,0,0,0,0,0,1,0,3
22,9,14,13,18,3,2,9,0,0,2,1,3,4,0,55,0,0,0,1,0,0,0,0
14,9,17,18,18,4,0,10,0,0,0,4,0,7,31,24,0,1,0,0,0,0,0,2
30,9,11,10,18,7,12,19,2,4,0,3,12,14,58,19,0,0,0,0,1,0,0,0
29,9,14,5,18,5,10,13,0,3,1,1,10,7,11,33,0,0,0,1,0,0,0,2
29,9,14,13,18,5,5,13,0,1,2,2,5,6,33,55,0,0,0,1,0,0,0,0
25,9,17,15,18,6,5,13,1,1,2,3,6,13,0,27,0,0,0,0,0,1,0,1
2,9,12,3,18,3,7,8,0,2,1,0,6,2,48,62,0,0,0,0,1,0,0,0
25,9,17,3,18,7,12,16,2,4,0,3,10,7,59,34,0,0,0,0,0,1,0,1
24,9,19,9,18,10,14,22,8,4,2,4,11,11,27,41,0,0,1,0,0,0,0,0
15,9,13,8,18,7,10,16,4,2,4,1,8,7,55,16,0,0,0,1,0,0,0,0
14,9,17,14,18,3,3,10,0,1,0,2,3,5,37,15,0,1,0,0,0,0,0,2
3,9,18,17,20,5,4,14,3,1,1,3,5,9,35,27,0,0,1,0,0,0,0,1
2,9,11,9,18,8,11,21,4,3,2,3,12,12,37,37,0,0,0,0,1,0,0,2
1,9,12,12,18,3,4,7,0,1,1,1,2,3,20,41,0,0,0,1,0,0,0,3
