Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Goals
10,11,12,2,18,12,22,24,7,7,1,4,18,17,46,18,1,0,0,1,0,0,0,1
30,11,17,7,18,14,21,28,8,5,6,3,31,25,42,42,1,1,0,0,0,0,0,2
16,11,18,6,18,18,26,39,9,6,8,4,26,19,42,30,1,1,0,0,0,0,0,1
4,11,12,14,18,12,15,21,7,4,3,5,15,18,27,46,1,0,0,0,1,0,0,1
9,11,18,3,18,18,32,36,16,8,8,2,37,23,64,33,1,1,0,0,0,0,0,1
9,11,18,5,18,20,35,44,14,11,2,7,33,27,47,40,1,1,0,0,0,0,0,2
9,11,18,9,16,14,17,42,5,4,5,5,26,37,37,29,1,1,0,0,0,0,0,0
4,11,12,8,18,12,17,21,7,4,5,3,18,13,37,46,1,0,0,0,1,0,0,1
15,12,18,1,18,14,36,36,9,11,3,0,39,14,82,18,1,0,0,1,0,0,0,2
21,12,20,1,18,16,39,39,11,12,3,1,42,17,71,24,1,1,0,0,0,0,0,2
2,12,17,4,18,12,23,33,9,7,2,3,29,14,50,11,1,0,0,0,1,0,0,1
22,12,18,5,18,16,27,42,11,8,3,5,34,20,55,8,1,0,0,1,0,0,0,0
15,12,15,17,18,14,10,36,9,2,4,8,16,29,17,26,1,0,0,1,0,0,0,0
8,12,14,12,18,13,14,33,9,4,2,7,14,18,37,18,1,0,0,1,0,0,0,1
9,12,17,3,18,13,26,36,9,8,2,3,30,16,88,11,1,0,0,0,1,0,0,3
23,12,15,15,18,16,15,42,11,3,6,7,23,26,14,35,1,0,0,0,1,0,0,2
23,12,18,7,18,16,24,42,11,6,6,4,31,22,41,35,1,0,0,0,1,0,0,1
18,12,20,8,18,15,22,39,10,6,4,5,22,20,39,31,1,0,0,0,0,1,0,2
18,12,20,7,18,15,23,39,10,6,5,4,23,22,39,31,1,0,0,0,0,1,0,2
8,12,14,4,18,13,24,33,9,7,3,3,25,18,64,18,1,0,0,1,0,0,0,3
8,12,14,13,18,13,14,33,9,3,5,5,16,22,30,30,1,0,0,1,0,0,0,3
16,12,18,5,18,14,23,39,10,7,2,5,30,17,51,17,1,0,0,0,1,0,0,2
15,12,15,7,18,14,22,36,9,6,4,4,30,21,37,27,1,0,0,1,0,0,0,0
8,12,14,11,18,13,15,33,9,4,3,6,19,25,27,27,1,0,0,1,0,0,0,1
8,12,17,8,18,13,20,33,9,5,5,3,21,20,34,42,1,0,0,1,0,0,0,1
19,12,20,10,18,15,19,39,10,5,4,6,14,19,47,31,1,0,0,0,0,0,1,2
15,12,15,15,18,14,11,36,9,3,2,9,9,29,42,17,1,0,0,1,0,0,0,2
15,12,15,14,18,14,13,36,9,3,4,7,20,23,17,42,1,0,0,1,0,0,0,1
9,12,14,10,18,13,18,36,9,5,3,5,12,14,27,27,1,0,0,0,1,0,0,1
8,12,14,8,18,13,18,33,9,5,3,5,18,18,55,11,1,0,0,1,0,0,0,2
22,12,15,10,18,16,21,39,11,6,3,7,23,28,35,41,1,0,0,1,0,0,0,3
19,12,20,12,18,15,17,39,10,4,5,6,19,24,31,39,1,0,0,0,0,0,1,1
19,12,20,9,18,15,21,39,10,6,3,6,25,25,47,39,1,0,0,0,0,0,1,1
1,12,14,15,18,13,11,33,9,3,2,8,9,26,30,30,1,0,0,1,0,0,0,1
22,12,15,18,18,16,11,39,11,2,5,9,14,37,7,35,1,0,0,1,0,0,0,0
19,12,18,14,18,15,15,39,10,4,3,8,16,21,34,26,1,0,0,0,0,0,1,1
21,12,18,16,18,17,12,37,10,2,6,9,18,27,27,48,1,1,0,0,0,0,0,0
10,12,19,7,18,15,24,34,9,6,6,3,24,16,48,27,1,0,1,0,0,0,0,1
22,12,15,16,18,16,14,39,11,4,2,10,11,32,41,14,1,0,0,1,0,0,0,1
15,12,13,3,18,16,28,37,9,6,10,0,25,12,41,62,1,0,0,1,0,0,0,2
23,12,13,16,18,17,13,37,10,3,4,10,15,30,35,20,1,0,0,0,1,0,0,1
23,12,13,12,18,17,19,37,10,5,4,8,22,23,35,20,1,0,0,0,1,0,0,3
5,12,17,2,12,10,23,30,1,7,2,1,29,13,80,20,1,0,0,0,0,0,1,9
15,12,13,9,18,16,22,37,9,5,7,4,33,28,35,48,1,0,0,1,0,0,0,3
15,12,14,8,20,18,26,37,10,7,5,6,26,27,37,37,1,0,0,1,0,0,0,1
8,12,12,8,18,15,23,34,8,6,5,4,21,24,35,48,1,0,0,1,0,0,0,0
8,12,12,12,18,15,17,34,8,5,2,8,18,24,51,7,1,0,0,1,0,0,0,1
2,12,12,16,18,15,13,31,8,3,4,8,15,22,8,34,1,0,0,0,1,0,0,1
22,12,13,14,18,17,18,37,10,4,6,7,21,26,41,41,1,0,0,1,0,0,0,1
16,12,13,16,18,17,12,37,10,2,6,9,17,26,14,35,1,0,0,0,1,0,0,2
16,12,13,18,18,17,10,37,10,1,7,9,15,32,6,33,1,0,0,0,1,0,0,1
