Day,Month,Hour,League_Rank,Total_teams,Games_played,Points,Max_points,Min_points,Won,Draw,Lost,Goals_Scored,Goals_Rec,Win_Perc,Draw_Perc,Status,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Goals
21,10,18,16,22,10,11,22,6,2,5,3,11,10,66,15,1,0,0,0,1,0,0,0,1
20,10,16,5,22,9,15,22,6,4,3,2,11,7,37,37,1,0,0,1,0,0,0,0,3
27,10,16,3,22,11,21,22,6,6,3,2,17,8,49,25,1,0,0,1,0,0,0,0,1
11,11,19,13,20,11,14,24,6,3,5,3,20,16,26,51,1,0,0,0,1,0,0,0,2
11,11,15,1,20,11,24,24,6,7,3,1,31,14,66,22,1,0,0,0,1,0,0,0,3
10,11,17,4,20,11,20,24,6,5,5,1,13,6,39,47,1,0,0,1,0,0,0,0,3
25,11,15,2,20,12,23,24,7,7,2,3,24,14,50,20,1,0,0,0,1,0,0,0,1
3,11,19,19,20,11,7,22,5,1,4,6,11,21,31,16,1,0,0,1,0,0,0,0,2
24,11,19,3,20,12,23,24,6,6,5,1,16,8,42,42,1,0,0,1,0,0,0,0,1
24,11,12,13,20,12,15,24,6,4,3,5,12,18,33,33,1,0,0,1,0,0,0,0,3
24,11,15,9,20,13,17,24,6,3,8,2,9,9,55,18,1,0,0,1,0,0,0,0,3
11,11,17,4,20,11,20,24,6,6,2,3,22,13,55,22,1,0,0,0,1,0,0,0,2
3,11,15,9,20,10,14,21,5,4,2,4,14,14,73,37,1,0,0,1,0,0,0,0,2
10,11,15,8,20,11,16,24,6,4,4,3,11,9,31,79,1,0,0,1,0,0,0,0,0
5,11,20,5,20,10,18,24,6,5,3,2,14,8,37,37,1,0,1,0,0,0,0,0,1
11,11,17,19,20,11,6,24,6,1,3,7,12,23,0,37,1,0,0,0,1,0,0,0,2
4,11,17,12,20,10,12,21,5,3,3,4,12,13,41,41,1,0,0,0,1,0,0,0,0
25,11,19,17,20,12,11,25,7,2,5,5,11,13,20,50,1,0,0,0,1,0,0,0,2
10,11,19,11,20,11,16,24,6,4,4,3,13,14,33,22,1,0,0,1,0,0,0,0,0
9,11,20,7,20,11,17,24,6,5,2,4,17,16,60,30,1,1,0,0,0,0,0,0,1
4,11,15,17,20,10,9,21,5,2,3,5,8,10,59,17,1,0,0,0,1,0,0,0,1
26,11,20,13,20,12,16,26,7,4,4,4,15,14,61,0,1,0,1,0,0,0,0,0,2
4,11,19,13,20,10,12,24,5,3,3,4,5,9,34,51,1,0,0,0,1,0,0,0,3
23,11,20,3,22,14,28,30,9,8,4,2,22,10,55,27,1,1,0,0,0,0,0,0,1
22,11,19,2,16,9,24,26,2,8,0,1,32,7,55,27,1,0,0,0,0,1,0,0,3
25,11,19,2,22,14,30,30,10,9,3,2,17,6,75,27,1,0,0,0,1,0,0,0,2
