Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Thu,Weekday_Tue,Weekday_Wed,Result
19,1,16,10,7,22,21,21,29,33,40,16,7,8,6,9,6,6,25,28,21,17,49,38,27,44,1.16,0.33,0,0,1,0,0,0,0,Draw
6,1,18,6,19,20,19,19,29,17,38,15,7,8,4,2,11,6,22,15,16,19,30,18,49,49,2.5,0.0,0,0,0,1,0,0,0,Draw
5,1,10,5,12,16,15,15,25,14,42,9,8,1,6,4,2,9,25,11,18,34,0,0,0,0,1.83,0.83,0,0,1,0,0,0,0,Draw
27,10,18,5,9,20,9,9,16,12,18,5,4,4,1,3,3,3,10,12,5,11,47,31,31,31,2.33,0.83,0,0,1,0,0,0,0,Home
20,10,18,3,2,20,8,8,15,16,17,5,4,3,1,5,1,2,19,18,9,8,46,82,18,18,3.5,2.0,0,0,1,0,0,0,0,Home
20,10,16,16,3,20,8,8,8,15,16,5,2,2,4,4,3,1,6,9,7,4,50,50,20,30,1.66,0.66,0,0,1,0,0,0,0,Draw
21,10,18,9,8,20,8,8,12,12,18,5,3,3,2,3,3,2,5,7,6,6,27,82,55,0,2.33,0.66,0,0,0,1,0,0,0,Away
1,10,19,8,12,20,6,6,9,8,14,4,2,3,1,2,2,2,11,5,9,5,31,55,47,24,2.16,0.83,0,1,0,0,0,0,0,Draw
27,10,16,13,12,20,9,9,10,11,18,5,2,4,3,3,2,4,13,10,13,13,30,20,30,40,2.16,1.33,0,0,1,0,0,0,0,Home
21,10,14,13,18,20,8,7,10,7,18,5,3,1,4,1,4,2,9,9,12,13,22,22,22,22,2.83,1.16,0,0,0,1,0,0,0,Draw
28,10,11,11,12,20,9,9,12,12,18,5,3,3,3,3,3,3,8,5,8,7,60,60,20,30,2.5,1.16,0,0,0,1,0,0,0,Home
20,10,11,5,11,20,8,8,14,10,17,5,4,2,2,3,1,4,12,12,7,14,68,68,26,17,3.33,2.16,0,0,1,0,0,0,0,Away
26,10,19,6,2,20,9,9,15,17,18,5,4,3,2,5,2,2,8,13,6,7,55,55,41,27,2.16,0.66,1,0,0,0,0,0,0,Draw
21,10,10,19,15,20,7,8,5,9,18,5,1,2,4,2,3,3,7,6,15,7,0,55,55,18,2.16,1.16,0,0,0,1,0,0,0,Away
27,10,14,17,14,20,9,9,9,10,18,5,1,6,2,1,7,1,11,7,15,8,30,50,20,40,2.66,1.83,0,0,1,0,0,0,0,Draw
8,10,19,12,13,22,7,7,9,8,19,5,2,3,2,2,2,3,10,5,8,6,80,50,11,30,1.66,0.66,0,1,0,0,0,0,0,Draw
28,10,11,22,7,22,10,10,6,15,23,6,1,3,6,4,3,3,6,12,17,13,42,42,17,17,1.83,1.16,0,0,0,1,0,0,0,Home
13,10,18,12,10,22,8,8,10,10,22,6,2,4,2,2,4,2,9,11,10,9,82,27,0,27,2.83,1.5,0,0,1,0,0,0,0,Home
21,10,18,16,19,22,10,10,11,9,22,6,2,5,3,1,6,3,11,7,10,11,66,37,15,44,1.33,0.5,0,0,0,1,0,0,0,Draw
20,10,16,5,9,22,9,9,15,13,22,6,4,3,2,3,4,2,11,10,7,10,37,37,37,18,2.5,1.33,0,0,1,0,0,0,0,Home
27,10,16,3,7,22,11,11,21,15,22,6,6,3,2,4,3,4,17,12,8,9,49,13,25,37,2.33,0.83,0,0,1,0,0,0,0,Home
11,11,19,13,6,20,11,11,14,17,24,6,3,5,3,5,2,4,20,16,16,14,26,51,51,34,4.16,1.33,0,0,0,1,0,0,0,Away
11,11,15,1,15,20,11,11,24,13,24,6,7,3,1,3,4,4,31,8,14,12,66,44,22,22,3.83,1.33,0,0,0,1,0,0,0,Away
10,11,17,4,17,20,11,11,20,10,24,6,5,5,1,1,7,3,13,11,6,16,39,24,47,47,2.83,1.16,0,0,1,0,0,0,0,Home
25,11,15,2,10,20,12,12,23,17,24,7,7,2,3,4,5,3,24,9,14,9,50,40,20,40,3.16,1.66,0,0,0,1,0,0,0,Home
3,11,19,19,1,20,11,11,7,22,22,5,1,4,6,6,4,1,11,29,21,13,31,94,16,16,5.16,0.0,0,0,1,0,0,0,0,Away
24,11,19,3,1,20,12,12,23,24,24,6,6,5,1,7,3,2,16,34,8,18,42,68,42,26,2.16,1.0,0,0,1,0,0,0,0,Draw
24,11,12,13,6,20,12,12,15,20,24,6,4,3,5,6,2,4,12,20,18,16,33,66,33,22,3.16,2.16,0,0,1,0,0,0,0,Home
24,11,15,9,19,20,13,13,17,7,24,6,3,8,2,1,4,8,9,14,9,26,55,55,18,55,3.33,0.0,0,0,1,0,0,0,0,Home
11,11,17,4,3,20,11,11,20,21,24,6,6,2,3,6,3,2,22,15,13,8,55,33,22,33,3.66,2.5,0,0,0,1,0,0,0,Home
3,11,15,9,6,20,10,10,14,16,21,5,4,2,4,4,4,2,14,9,14,7,73,18,37,55,4.83,2.83,0,0,1,0,0,0,0,Home
10,11,15,8,15,20,11,11,16,11,24,6,4,4,3,1,8,2,11,7,9,9,31,31,79,31,2.66,1.16,0,0,1,0,0,0,0,Away
5,11,20,5,17,20,10,10,18,10,24,6,5,3,2,1,7,2,14,11,8,15,37,13,37,73,1.83,1.16,0,1,0,0,0,0,0,Home
11,11,17,19,16,20,11,11,6,10,24,6,1,3,7,2,4,5,12,9,23,11,0,13,37,25,4.16,1.83,0,0,0,1,0,0,0,Draw
4,11,17,12,4,20,10,10,12,19,21,5,3,3,4,6,1,3,12,22,13,13,41,41,41,27,2.66,1.16,0,0,0,1,0,0,0,Draw
25,11,19,17,14,20,12,12,11,16,25,7,2,5,5,4,4,4,11,12,13,15,20,30,50,30,2.0,0.83,0,0,0,1,0,0,0,Home
10,11,19,11,18,20,11,11,16,9,24,6,4,4,3,2,3,6,13,9,14,16,33,33,22,0,2.5,0.83,0,0,1,0,0,0,0,Draw
