Day,Month,Hour,League_Rank_1,League_Rank_2,Total_teams,Games_played_1,Games_played_2,Points_1,Points_2,Max_points,Min_points,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Win_Perc_1,Win_Perc_2,Draw_Perc_1,Draw_Perc_2,Avrage_FT_Goal,Average_HT_Goal,Weekday_Fri,Weekday_Mon,Weekday_Sat,Weekday_Sun,Weekday_Tue,Weekday_Wed,Result
28,10,17,4,13,18,8,8,17,8,21,5,5,2,1,2,2,4,15,9,8,15,61,49,25,13,2.83,1.33,0,0,0,1,0,0,Away
26,10,18,11,2,18,8,8,9,17,20,5,2,3,3,5,2,1,10,19,14,9,13,37,25,49,2.16,0.66,1,0,0,0,0,0,Home
22,10,18,17,6,18,9,9,5,16,20,5,1,2,6,5,1,3,9,15,18,15,33,33,33,33,2.5,0.66,0,1,0,0,0,0,Away
20,10,16,15,4,18,7,7,6,14,17,5,2,0,5,4,2,1,5,13,9,8,82,69,27,27,3.33,1.66,0,0,1,0,0,0,Away
1,10,18,17,4,18,7,7,5,13,19,2,1,2,4,3,4,0,7,11,15,5,24,31,31,47,2.83,1.0,0,1,0,0,0,0,Away
27,10,13,15,10,18,8,8,6,9,20,5,1,3,4,2,3,3,10,14,16,13,0,37,55,0,2.5,1.5,0,0,1,0,0,0,Away
28,10,12,5,10,18,10,10,18,14,21,5,4,6,0,4,2,4,14,13,7,11,30,50,50,11,1.66,0.66,0,0,0,1,0,0,Draw
21,10,11,4,8,18,9,9,17,14,20,5,5,2,2,4,2,3,12,16,11,10,63,31,16,47,2.5,1.16,0,0,0,1,0,0,Draw
19,10,16,9,13,18,9,9,13,10,19,5,4,1,4,3,1,5,12,10,10,13,33,33,11,22,2.66,1.5,1,0,0,0,0,0,Draw
19,10,16,17,18,18,9,9,5,5,19,5,1,2,6,1,2,6,5,9,14,19,8,17,42,42,2.0,1.16,1,0,0,0,0,0,Home
21,10,11,7,3,18,9,9,15,17,20,5,4,3,2,4,5,0,19,14,15,7,37,61,49,25,2.33,1.33,0,0,0,1,0,0,Draw
